#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,金子信博,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Nishi Tanzawa (TZ-DB1). ,,,,,,,,,,,
#,SITE NAME,サイト名,丹沢,,,,,,,,,,,
#,PLOT NAME,調査区名,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TZ-DB1,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,
#/note,20090324,データ成形（石原正恵）,,,,,,,,,,,,
#,,タグ重複：466、467、345、346がそれぞれ重複-→20090409段階では不明のため現状維持（仮番号をつけた),,,,,,,,,,,,
#,,１）478     178　　−−＞個体番号478に訂正,,,,,,,,,,,,
#,,２） 124     123     −−＞個体番号124に訂正,,,,,,,,,,,,
#,,３） 644     643     −−＞個体番号644に訂正,,,,,,,,,,,,
#,,マメツツジ？-->ndに,,,,,,,,,,,,
#,20091020,"mesh_xcord,mesh_ycord　をモニ1000フォーマットに変更",,,,,,,,,,,,
#,20171018,データ確認（日野貴文）,,,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,,,
#,,種名がイタヤカエデ？などのように「？」がついている個体はモニ1000仕様に合わせをndにして、noteに転記,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,
#VALUE!,#VALUE!,C184,C184,？,？,ブナ,35.7 ,nd,倒木（生きている）＊座標忘れ；原点座標は暫定,行方不明,,na,na,B2
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","note13_2","s_date08","s_date13","mesh_site_original","dl08","dl13","rec08","rec13","error08","error13"
"15.5 ",36.9,"C149","C148",5.5,6.9,"サラサドウダン",16.5,17.1,"","","",NA,NA,"B3",0,0,0,0,0,0
"15.5 ",39.1,"C150","C150",5.5,9.1,"タンナサワフタギ",16.5,16.7,"","","",NA,NA,"B3",0,0,0,0,0,0
"15.5 ",39.1,"C151","C150",5.5,9.1,"タンナサワフタギ",17.7,17.7,"","こぶ下で計測","",NA,NA,"B3",0,0,0,0,0,0
"11.2 ",39.7,"C152","C152",1.2,9.7,"イトマキイタヤ",30,32,"","","",NA,NA,"B3",0,0,0,0,0,0
"12.0 ",49,"400","400",2,9,"リョウブ",NA,39,"","","",NA,NA,"B４",0,0,0,0,1,0
"15.0 ",48,"C107","C107",5,8,"ブナ",141.2,144.2,"","","",NA,NA,"B4",0,0,0,0,0,0
"19.4 ",57.4,"931","931",9.4,7.4,"ブナ",37.9,38,"","","",NA,NA,"B5",0,0,0,0,0,0
"19.4 ",58.8,"932","932",9.4,8.8,"サワシバ",76.5,79.2,"","","",NA,NA,"B5",0,0,0,0,0,0
"17.9 ",58.2,"933","933",7.9,8.2,"アオダモ",47.6,49,"","","",NA,NA,"B5",0,0,0,0,0,0
"16.3 ",50.6,"934","934",6.3,0.6,"ブナ",20.6,20.9,"","","",NA,NA,"B5",0,0,0,0,0,0
"15.0 ",54.4,"935","935",5,4.4,"アオダモ",41.8,44.9,"","","",NA,NA,"B5",0,0,0,0,0,0
"15.0 ",54.4,"936","935",5,4.4,"アオダモ",24.2,24.2,"枝分かれ","","",NA,NA,"B5",0,0,0,0,0,0
"14.0 ",56.9,"937","937",4,6.9,"マメザクラ",18.4,19.2,"","","",NA,NA,"B5",0,0,0,0,0,0
"14.0 ",56.9,"938","937",4,6.9,"マメザクラ",16.2,15.5,"","","",NA,NA,"B5",0,0,0,0,0,0
"12.9 ",57.6,"939","939",2.9,7.6,"リョウブ",21.1,23.4,"","","",NA,NA,"B5",0,0,0,0,0,0
"13.4 ",52.6,"941","941",3.4,2.6,"リョウブ",44.3,45.8,"","根返り","",NA,NA,"B5",0,0,0,0,0,0
"13.4 ",52.6,"942","941",3.4,2.6,"リョウブ",27.9,28.5,"","根返り","",NA,NA,"B5",0,0,0,0,0,0
"13.4 ",52.6,"943","941",3.4,2.6,"リョウブ",21,NA,"","行方不明","",NA,NA,"B5",0,0,0,0,0,1
