#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Ontake-nigorigo (NG-EC1).,,,,,,,,,,,,,
#,SITE NAME,サイト名,御岳濁河(亜高山帯常緑針葉樹林),,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,NG-EC1,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,
#,2006,データ作成(西村尚之)2ha分,,,,,,,,,,,,,,
#,20080429,1ha分,,,,,,,,,,,,,,
#,20080702,データ成形（石原正恵）,,,,,,,,,,,,,,
#,20101116,tag重複多数,,,,,,,,,,,,,,
#,20101116,tag重複多数->セルx座標-セルy座標-tagNoにした,,,,,,,,,,,,,,
#,20110126,2010年度分データの差し替え（2005年分も）,,,,,,,,,,,,,,
#,,note05はデータなし（2005年データと対応させるのが困難なため、元データ参照）,,,,,,,,,,,,,,
#,,"tag_no=nYA795 重複　-1,-2をつけた（-2の方が番号の並びからすると怪しい）-->(50,20)の方がnYA695の間違い",,,,,,,,,,,,,,
#,20110217,西村さんより追加修正（タグNo、座標など）,,,,,,,,,,,,,,
#,20170608,データ確認（日野）,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","tag_no_2010","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
0,70,"aS_412","nYA118",7.5,9.5,"オオシラビソ",22.3,26.5,31.6,NA,NA,"樹種確認済","20050914","20100831","20150929","nYA118",0,0,0,0,0,0,0,0,0
0,70,"aS_411","aS_411",9.99,1.3,"オオシラビソ",NA,NA,19,NA,NA,"新規",NA,NA,"20150929",NA,0,0,0,-1,-1,1,0,0,0
0,70,"aS_415","aS_415",2.7,1,"シラビソ",NA,NA,17.3,NA,NA,"新規",NA,NA,"20150929",NA,0,0,0,-1,-1,1,0,0,0
0,80,"aS_420","nYA32",0.6,0.3,"コメツガ",87.1,92.2,101.2,NA,NA,"成長よい確認済","20050913","20100831","20150929","nYA32",0,0,0,0,0,0,0,0,0
0,80,"aS_427","nYA640",6.1,1.5,"オオシラビソ",NA,18.6,23.6,NA,"新規加入","成長よい確認済",NA,"20100831","20150929","nYA640",0,0,0,-1,1,0,0,0,0
0,80,"nYA33","nYA33",4.1,2.6,"シラビソ",97.1,106,NA,NA,NA,"幹折","20050913","20100831","20150929","nYA33",0,0,1,0,0,0,0,0,0
0,80,"aS_432","nYA641",9,3.4,"オオカメノキ",NA,23.1,24,NA,"新規加入",NA,NA,"20100831","20150929","nYA641",0,0,0,-1,1,0,0,0,0
0,80,"nYA34","nYA34",0.4,5.6,"オオシラビソ",112.3,114,NA,NA,NA,"立枯","20050913","20100831","20150929","nYA34",0,0,1,0,0,0,0,0,0
0,80,"aS_421","nYA35",1.5,6.7,"オオシラビソ",40.9,44.1,48.3,NA,NA,"成長よい確認済","20050913","20100831","20150929","nYA35",0,0,0,0,0,0,0,0,0
0,80,"aS_423","nYA643",7.8,7.3,"オガラバナ",NA,20,24,NA,"新規加入","成長よい確認済，GAP下",NA,"20100831","20150929","nYA643",0,0,0,-1,1,0,0,0,0
0,80,"aS_422","nYA36",1.8,8.2,"オオシラビソ",23,24.9,27.3,NA,NA,NA,"20050913","20100831","20150929","nYA36",0,0,0,0,0,0,0,0,0
0,80,"aS_424","nYA642",6.1,8.5,"オガラバナ",NA,21.8,30,NA,"新規加入","成長よい確認済",NA,"20100831","20150929","nYA642",0,0,0,-1,1,0,0,0,0
0,80,"aS_425","nYA37",6.7,9.8,"シラビソ",124.6,129,133,NA,NA,"成長よい確認済","20050914","20100831","20150929","nYA37",0,0,0,0,0,0,0,0,0
0,80,"aS_430","aS_430",9.6,4,"オガラバナ",NA,NA,16.6,NA,NA,"新規",NA,NA,"20150929",NA,0,0,0,-1,-1,1,0,0,0
0,80,"aS_431","aS_431",6.6,2.5,"シラビソ",NA,NA,15.5,NA,NA,"新規",NA,NA,"20150929",NA,0,0,0,-1,-1,-1,0,0,0
0,90,"aS_595","nYA669",7.6,0.2,"オオシラビソ",NA,17.2,18.3,NA,"新規加入",NA,NA,"20100831","20150929","nYA669",0,0,0,-1,1,0,0,0,0
