#/log,DATA CREATED,データ作成日,20140220,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,杉田久志,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at 御明神大滝沢,,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,御明神大滝沢,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,,別番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#/note,20090325,データ成形（石原正恵）,,,,,,,,,,,,,,,,
#,,"1991,1998,2003年のデータあり",,,,,,,,,,,,,,,,
#,,1991年台風被害をnote91.1として入力,,,,,,,,,,,,,,,,
#,,"gbh1991,1998,2003--> note.gbh91, note.gbh98, note.gbh03",,,,,,,,,,,,,,,,
#,20091224,"Data censused in 1991, 1998, 2003 were excluded because Monitoring Sites 1000 started from 2004.",,,,,,,,,,,,,,,,
#,20101220,イタヤカエデは全てアカイタヤ（杉田さんより）。イタヤカエデ->アカイタヤ,,,,,,,,,,,,,,,,
#,20171211,公開用にデータの体裁整え（日野）,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","memo1","memo2","memo3","新No.","X","X.1","dl08","dl13","rec08","rec13","error08","error13"
20,50,206,"D206",5.3,1,"トチノキ",267.3,NA,"","根返り枯れ(2009.12)",20081112,20130926,"","D","",NA,NA,NA,0,1,0,0,0,0
40,50,176,"RG405",9.2,6.7,"トチノキ",182.8,184.8,"","",20081112,20130926,"RG","D","",405,NA,NA,0,0,0,0,0,0
40,50,191,"RG406",5,1.2,"トチノキ",164.7,170.4,"","",20081112,20130926,"RG","D","",406,NA,NA,0,0,0,0,0,0
50,50,173,"RG407",2.9,2,"トチノキ",184.7,188.9,"","",20081112,20130926,"RG","D","",407,NA,NA,0,0,0,0,0,0
50,50,172,"RG408",2.6,0.5,"トチノキ",146,146.4,"","",20081112,20130926,"RG","D","",408,NA,NA,0,0,0,0,0,0
50,50,174,"RG409",6.4,4.6,"トチノキ",307.6,312.6,"","",20081112,20130926,"RG","D","",409,NA,NA,0,0,0,0,0,0
50,50,175,"D175",1.4,6.5,"トチノキ",77.4,NA,"","→立枯れ",20081112,20130926,"","D","",NA,NA,NA,0,1,0,0,0,0
70,50,166,"RG417",1,9.4,"トチノキ",97.8,99.6,"","",20081112,20130926,"RG","D","",416,NA,NA,0,0,0,0,0,0
70,50,167,"RG417",0.3,9.3,"トチノキ",268.8,269.5,"","",20081112,20130926,"RG","D","",417,NA,NA,0,0,0,0,0,0
70,50,167.1,"RG419",3.6,8.8,"ツリバナ",8.9,9,"","",20081112,20130926,"RG","D","青607",419,NA,NA,0,0,-1,-1,0,0
70,50,161.2,"RG428",6.9,8.1,"ツリバナ",8.8,8.9,"","",20081112,20130926,"RG","D","RD350　WG523",428,NA,NA,0,0,-1,-1,0,0
80,50,161,"RG426",2.8,5.2,"トチノキ",291.9,288.8,"","→大枝落ち'13Oct",20081112,20130926,"RG","D","",426,NA,NA,0,0,0,0,0,0
80,50,161.1,"RG427",2.7,4.6,"ノリウツギ",11.9,14,"","",20081112,20130926,"RG","D","RD346",427,NA,NA,0,0,-1,-1,0,0
80,50,NA,"RG429",0.6,1.3,"ウワミズザクラ",NA,15.5,"","→落枝下敷傾き'13Oct",20081112,20130926,"RG","","",429,NA,NA,0,0,-1,-1,0,0
80,50,NA,"RG430",1.4,0.2,"ウワミズザクラ",NA,10.3,"RG429同株","",20081112,20130926,"RG","","青604",430,NA,NA,0,0,-1,-1,0,0
80,50,160.1,"RG431",5.6,5.6,"アオダモ",10.2,12.5,"","",20081112,20130926,"RG","D","RD345　WG521",431,NA,NA,0,0,-1,-1,0,0
80,50,160,"RG432",8.4,9.6,"ノリウツギ",24.4,29,"","",20081112,20130926,"RG","D","WG517 RD776",432,NA,NA,0,0,0,0,0,0
80,50,155.1,"RG437",9.8,0.2,"サワグルミ",15.6,21.2,"","",20081112,20130926,"RG","D","RD344　WG518",437,NA,NA,0,0,-1,1,0,0
10,60,197,"RG375",8.4,9.7,"ホオノキ",143.5,145.5,"","",20081112,20130926,"RG","D","RD789",375,NA,NA,0,0,0,0,0,0
10,60,198,"RG375",8,9.5,"ホオノキ",42.5,51.1,"","",20081112,20130926,"RG","D","",376,NA,NA,0,0,0,0,0,0
10,60,199,"RG375",8.1,9.4,"ホオノキ",14.9,16.8,"","",20081112,20130926,"RG","D","",377,NA,NA,0,0,-1,1,0,0
10,60,200,"RG375",8,9.3,"ホオノキ",18.6,19.3,"","",20081112,20130926,"RG","D","",378,NA,NA,0,0,0,0,0,0
10,60,197.2,"RG375",8.3,9.6,"ホオノキ",17.3,17.8,"","",20081112,20130926,"RG","D","RD351　WG533",379,NA,NA,0,0,0,0,0,0
10,60,475.3,"RG375",7.9,9.6,"ホオノキ",16.1,17.7,"","",20081112,20130926,"RG","C","RD293 WG534",380,NA,NA,0,0,0,0,0,0
10,60,477,"RG375",8.4,10,"ホオノキ",24.5,NA,"","→立枯れ",20081112,20130926,"","C","",NA,NA,NA,0,1,0,0,0,0
10,60,197.1,"RG375",7.9,9.7,"ホオノキ",16,NA,"","→不明",20081112,20130926,"","D","RD293　WG534",NA,NA,NA,0,1,0,0,0,0
10,60,197.3,"RG375",8.8,9.2,"ホオノキ",11.1,NA,"","→不明",20081112,20130926,"","D","RD295　WG536",NA,NA,NA,0,1,-1,-1,0,0
10,60,197.4,"RG375",8.9,9.4,"ホオノキ",16.4,NA,"","→不明",20081112,20130926,"","D","RD294　WG535",NA,NA,NA,0,1,0,0,0,0
10,60,475,"RG381",8.8,9.8,"ホオノキ",177.3,181.7,"","",20081112,20130926,"RG","C","",381,NA,NA,0,0,0,0,0,0
10,60,476,"RG381",8.4,10,"ホオノキ",28.7,31,"","",20081112,20130926,"RG","C","",382,NA,NA,0,0,0,0,0,0
10,60,475.2,"RG381",8.9,9.5,"ホオノキ",16.4,20.3,"","",20081112,20130926,"RG","C","RD294 WG535",383,NA,NA,0,0,0,0,0,0
10,60,475.1,"RG381",8.7,9.2,"ホオノキ",10.9,11,"","",20081112,20130926,"RG","C","RD295 WG536",384,NA,NA,0,0,-1,-1,0,0
10,60,202,"RG386",10,6.8,"ヒバ",NA,59.5,"","→枝1本のみ",20081112,20130926,"RG","D","",386,NA,NA,0,0,0,0,1,0
10,60,210,"RG387",5.4,0.2,"サワグルミ",136.5,138.9,"","",20081112,20130926,"RG","D","",387,NA,NA,0,0,0,0,0,0
20,60,203,"RG388",0,3.1,"ヒバ",132.1,131.4,"","",20081112,20130926,"RG","D","",388,NA,NA,0,0,0,0,0,0
30,60,196,"RG396",1.3,8.9,"サワグルミ",116,122.9,"","",20081112,20130926,"RG","D","",396,NA,NA,0,0,0,0,0,0
