#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kiso-akasawa (KI-EC1).,,,,,,,,,,
#,SITE NAME,サイト名,木曽,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,
#,PLOT CODE,調査区コード,KI-EC1,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,
#,,note,備考,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,
#/note,20090421,データ成形（石原）,,,,,,,,,,,
#,,タグNoの重複多数だったので、セルx座標_セルy座標_タグ番号に書き換えた。,,,,,,,,,,,
#,,異なるセルで同株の幹はなかったので、セルx座標_セルy座標_個体番号に書き換えた。,,,,,,,,,,,
#,,100_30_593が２個体あったので、ホオノキを100_30_592に変更,,,,,,,,,,,
#,20091020,"mesh_xcord(Moni1000)=mesh_xcord(origina)-10, mesh_ycord(Moni1000)=mesh_ycord(original)-10",,,,,,,,,,,
#,20171006,公開データのためのエラーチェック（日野）,,,,,,,,,,,
#,,note_13に「G08測定ミス」「G08過大」と書かれている幹個体のgbh08の計測値の前にndを入力,,,,,,,,,,,
#,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","新ID","dl08","dl13","rec08","rec13","error08","error13"
0,80,"284","284",9.4,5.6,"アスナロ",51.5,53.1,NA,NA,39685,41508,"nWA102",0,0,0,0,0,0
0,80,"71","71",3.9,8.1,"サワラ",18.5,NA,NA,"立枯",39685,41508,"",0,1,0,0,0,0
0,80,"72","72",1.7,8.7,"シロモジ",22.8,NA,"傾く","立枯",39685,41508,"",0,1,0,0,0,0
0,80,"74","74",3.1,9.3,"ヒノキ",216.5,222.8,NA,NA,39685,41508,"nWA103",0,0,0,0,0,0
0,90,"75","75",3.7,0.2,"アスナロ",53.2,56.6,NA,NA,39685,41508,"nWA105",0,0,0,0,0,0
0,90,"73","73",1.8,0.4,"アスナロ",42,44.2,NA,NA,39685,41508,"nWA104",0,0,0,0,0,0
0,90,"J282","YJ282",5.5,2.7,"シロモジ",17,NA,"傾く","幹折",39685,41508,"",0,1,0,0,0,0
0,90,"wG66","WG66",8.5,6.4,"シロモジ",22.5,NA,NA,"立枯，x座標修正済",39685,41508,"",0,1,0,0,0,0
0,90,"wG65","WG65",8.9,6.4,"シロモジ",25.4,NA,NA,"立枯，y座標修正済",39685,41508,"",0,1,0,0,0,0
0,90,"wG65","WG67",8.9,6.9,"シロモジ",25.4,NA,NA,"立枯",39685,41508,"",0,1,0,0,0,0
0,90,"J283","YJ283",3.7,7.7,"シロモジ",17.7,NA,"傾く","幹折",39685,41508,"",0,1,0,0,0,0
10,0,"wG101","WG101",5.6,0.5,"サワラ",170.3,170.3,NA,NA,39685,41508,"nWA108",0,0,0,0,0,0
10,0,"wG51","WG51",0.7,0.9,"ヒノキ",216.1,221.9,NA,NA,39685,41508,"nWA107",0,0,0,0,0,0
10,0,"158","158",0.1,3.7,"シロモジ",22.1,22.8,NA,NA,39685,41508,"nWA106",0,0,0,0,0,0
10,0,"155","156",0.1,5.2,"ヒノキ",224.6,224.5,NA,NA,39685,41508,"nWA110",0,0,0,0,0,0
10,0,"155","155",0.1,5.2,"ヒノキ",261,263,NA,NA,39685,41508,"nWA111",0,0,0,0,0,0
10,0,"159","159",0.5,9.9,"アスナロ",23,25.1,NA,NA,39685,41508,"nWA112",0,0,0,0,0,0
10,10,"418","418",9.4,1.3,"ホオノキ",23.3,23.8,NA,NA,39685,41508,"nWA114",0,0,0,0,0,0
10,10,"183","183",5.8,9.9,"サワラ",197.2,200,NA,NA,39685,41508,"nWA113",0,0,0,0,0,0
10,20,"184","184",0.1,1.7,"アスナロ",33.1,33.8,NA,NA,39685,41508,"nWA115",0,0,0,0,0,0
10,20,"185","185",1.3,3.2,"ヒノキ",180.6,181.2,NA,NA,39685,41508,"nWA116",0,0,0,0,0,0
10,20,"wG52","WG52",4.8,3.3,"ミズナラ",248.1,248.5,NA,NA,39685,41508,"nWA117",0,0,0,0,0,0
10,20,"188","188",0.6,4.6,"アスナロ",24.5,25.4,NA,NA,39685,41508,"nWA119",0,0,0,0,0,0
